market,as_of,cftc_contract_market_code,cftc_market_code,open_interest_all,mm_long_all,mm_short_all,source_year
GOLD - COMMODITY EXCHANGE INC.,2019-09-03,088691,CMX ,634358,265175,33549,2019
GOLD - COMMODITY EXCHANGE INC.,2019-09-10,088691,CMX ,614753,239475,33294,2019
GOLD - COMMODITY EXCHANGE INC.,2019-09-17,088691,CMX ,630990,241936,28080,2019
GOLD - COMMODITY EXCHANGE INC.,2019-09-24,088691,CMX ,658944,265508,27637,2019
GOLD - COMMODITY EXCHANGE INC.,2019-10-01,088691,CMX ,604885,219990,29179,2019
GOLD - COMMODITY EXCHANGE INC.,2019-10-08,088691,CMX ,616957,231976,31475,2019
GOLD - COMMODITY EXCHANGE INC.,2019-10-15,088691,CMX ,607387,213987,38200,2019
GOLD - COMMODITY EXCHANGE INC.,2019-10-22,088691,CMX ,625528,218317,33879,2019
GOLD - COMMODITY EXCHANGE INC.,2019-10-29,088691,CMX ,643442,230664,32106,2019
GOLD - COMMODITY EXCHANGE INC.,2019-11-05,088691,CMX ,690181,233167,35920,2019
GOLD - COMMODITY EXCHANGE INC.,2019-11-12,088691,CMX ,708463,209432,33991,2019
GOLD - COMMODITY EXCHANGE INC.,2019-11-19,088691,CMX ,719211,221795,26596,2019
GOLD - COMMODITY EXCHANGE INC.,2019-11-26,088691,CMX ,669268,218724,24437,2019
GOLD - COMMODITY EXCHANGE INC.,2019-12-03,088691,CMX ,701016,232276,24314,2019
GOLD - COMMODITY EXCHANGE INC.,2019-12-10,088691,CMX ,690003,212929,29281,2019
GOLD - COMMODITY EXCHANGE INC.,2019-12-17,088691,CMX ,716987,228616,26895,2019
GOLD - COMMODITY EXCHANGE INC.,2019-12-24,088691,CMX ,748737,245366,26520,2019
GOLD - COMMODITY EXCHANGE INC.,2019-12-31,088691,CMX ,786166,258357,25625,2019
GOLD - COMMODITY EXCHANGE INC.,2020-01-07,088691,CMX ,785857,261083,31326,2020
GOLD - COMMODITY EXCHANGE INC.,2020-01-14,088691,CMX ,796883,262402,31943,2020
