time,timeframe,symbol,open,high,low,close,tick_volume,spread
2018-04-11 08:00:00,H1,XAGUSD,16.558,16.573,16.553,16.557,149,
2018-04-11 09:00:00,H1,XAGUSD,16.554,16.62,16.552,16.602,359,
2018-04-11 10:00:00,H1,XAGUSD,16.602,16.608,16.588,16.593,369,
2018-04-11 11:00:00,H1,XAGUSD,16.593,16.602,16.536,16.543,777,
2018-04-11 12:00:00,H1,XAGUSD,16.543,16.577,16.519,16.572,377,
2018-04-11 13:00:00,H1,XAGUSD,16.577,16.607,16.555,16.578,618,
2018-04-11 14:00:00,H1,XAGUSD,16.577,16.631,16.565,16.577,1191,
2018-04-11 15:00:00,H1,XAGUSD,16.579,16.676,16.561,16.614,1689,
2018-04-11 16:00:00,H1,XAGUSD,16.614,16.731,16.584,16.686,1479,
2018-04-11 17:00:00,H1,XAGUSD,16.686,16.839,16.676,16.833,1461,
2018-04-11 18:00:00,H1,XAGUSD,16.836,16.86,16.775,16.78,1588,
2018-04-11 19:00:00,H1,XAGUSD,16.779,16.823,16.729,16.795,1319,
2018-04-11 20:00:00,H1,XAGUSD,16.797,16.797,16.718,16.728,1177,
2018-04-11 21:00:00,H1,XAGUSD,16.728,16.743,16.605,16.632,2225,
2018-04-11 22:00:00,H1,XAGUSD,16.632,16.666,16.622,16.654,605,
2018-04-11 23:00:00,H1,XAGUSD,16.65,16.67,16.643,16.646,179,
2018-04-12 01:00:00,H1,XAGUSD,16.638,16.675,16.635,16.67,61,
2018-04-12 02:00:00,H1,XAGUSD,16.67,16.676,16.637,16.676,137,
2018-04-12 03:00:00,H1,XAGUSD,16.676,16.687,16.651,16.658,227,
2018-04-12 04:00:00,H1,XAGUSD,16.663,16.678,16.634,16.656,280,
2018-04-12 05:00:00,H1,XAGUSD,16.656,16.661,16.624,16.636,344,
2018-04-12 06:00:00,H1,XAGUSD,16.636,16.66,16.631,16.654,178,
2018-04-12 07:00:00,H1,XAGUSD,16.652,16.654,16.609,16.62,251,
2018-04-12 08:00:00,H1,XAGUSD,16.615,16.644,16.609,16.637,155,
2018-04-12 09:00:00,H1,XAGUSD,16.637,16.673,16.629,16.653,307,
2018-04-12 10:00:00,H1,XAGUSD,16.651,16.676,16.625,16.633,531,
2018-04-12 11:00:00,H1,XAGUSD,16.632,16.658,16.573,16.573,672,
2018-04-12 12:00:00,H1,XAGUSD,16.573,16.611,16.544,16.611,790,
2018-04-12 13:00:00,H1,XAGUSD,16.606,16.623,16.548,16.604,753,
2018-04-12 14:00:00,H1,XAGUSD,16.602,16.655,16.597,16.597,1350,
2018-04-12 15:00:00,H1,XAGUSD,16.597,16.62,16.494,16.535,1431,
2018-04-12 16:00:00,H1,XAGUSD,16.533,16.58,16.48,16.502,1747,
2018-04-12 17:00:00,H1,XAGUSD,16.502,16.532,16.462,16.493,1163,
2018-04-12 18:00:00,H1,XAGUSD,16.493,16.524,16.483,16.505,963,
2018-04-12 19:00:00,H1,XAGUSD,16.507,16.532,16.496,16.512,780,
2018-04-12 20:00:00,H1,XAGUSD,16.509,16.517,16.473,16.488,892,
2018-04-12 21:00:00,H1,XAGUSD,16.488,16.496,16.468,16.484,513,
2018-04-12 22:00:00,H1,XAGUSD,16.483,16.488,16.441,16.476,431,
2018-04-12 23:00:00,H1,XAGUSD,16.476,16.476,16.435,16.438,114,
2018-04-13 01:00:00,H1,XAGUSD,16.443,16.491,16.438,16.483,128,
2018-04-13 02:00:00,H1,XAGUSD,16.48,16.487,16.472,16.473,128,
2018-04-13 03:00:00,H1,XAGUSD,16.474,16.486,16.464,16.481,240,
2018-04-13 04:00:00,H1,XAGUSD,16.486,16.501,16.481,16.49,195,
2018-04-13 05:00:00,H1,XAGUSD,16.493,16.52,16.485,16.51,122,
2018-04-13 06:00:00,H1,XAGUSD,16.506,16.514,16.495,16.514,68,
2018-04-13 07:00:00,H1,XAGUSD,16.519,16.527,16.508,16.523,63,
2018-04-13 08:00:00,H1,XAGUSD,16.52,16.52,16.494,16.494,116,
2018-04-13 09:00:00,H1,XAGUSD,16.497,16.499,16.466,16.479,354,
2018-04-13 10:00:00,H1,XAGUSD,16.479,16.523,16.463,16.522,406,
2018-04-13 11:00:00,H1,XAGUSD,16.517,16.55,16.517,16.545,236,
2018-04-13 12:00:00,H1,XAGUSD,16.545,16.55,16.534,16.542,202,
2018-04-13 13:00:00,H1,XAGUSD,16.542,16.548,16.51,16.51,448,
2018-04-13 14:00:00,H1,XAGUSD,16.505,16.516,16.463,16.489,638,
2018-04-13 15:00:00,H1,XAGUSD,16.491,16.582,16.472,16.557,940,
2018-04-13 16:00:00,H1,XAGUSD,16.555,16.639,16.533,16.631,1096,
2018-04-13 17:00:00,H1,XAGUSD,16.632,16.668,16.612,16.657,878,
2018-04-13 18:00:00,H1,XAGUSD,16.662,16.673,16.625,16.636,871,
2018-04-13 19:00:00,H1,XAGUSD,16.635,16.675,16.625,16.674,612,
2018-04-13 20:00:00,H1,XAGUSD,16.674,16.674,16.629,16.634,442,
2018-04-13 21:00:00,H1,XAGUSD,16.634,16.643,16.615,16.631,268,
