time,timeframe,symbol,open,high,low,close,tick_volume,spread
2021-09-10 05:00:00+00:00,H1,XAUUSD,1794.53,1799.7,1793.33,1799.66,5653,11
2021-09-10 06:00:00+00:00,H1,XAUUSD,1799.65,1799.86,1797.78,1798.06,2642,11
2021-09-10 07:00:00+00:00,H1,XAUUSD,1798.1,1798.23,1796.28,1796.28,1716,11
2021-09-10 08:00:00+00:00,H1,XAUUSD,1796.29,1803.8,1796.13,1802.29,4855,11
2021-09-10 09:00:00+00:00,H1,XAUUSD,1802.31,1803.73,1800.3,1803.32,4763,11
2021-09-10 10:00:00+00:00,H1,XAUUSD,1803.4,1803.68,1800.13,1801.62,4211,11
2021-09-10 11:00:00+00:00,H1,XAUUSD,1801.62,1803.28,1799.82,1801.68,4162,11
2021-09-10 12:00:00+00:00,H1,XAUUSD,1801.68,1802.32,1796.98,1797.41,2880,11
2021-09-10 13:00:00+00:00,H1,XAUUSD,1797.41,1797.5,1792.91,1793.68,4454,11
2021-09-10 14:00:00+00:00,H1,XAUUSD,1793.68,1797.72,1793.39,1797.6,4819,11
2021-09-10 15:00:00+00:00,H1,XAUUSD,1797.53,1800.34,1792.48,1793.45,9683,11
2021-09-10 16:00:00+00:00,H1,XAUUSD,1793.44,1795.95,1788.43,1794.79,14561,11
2021-09-10 17:00:00+00:00,H1,XAUUSD,1794.71,1796.83,1793.03,1796.63,10338,11
2021-09-10 18:00:00+00:00,H1,XAUUSD,1796.64,1796.69,1790.9,1792.7,9031,11
2021-09-10 19:00:00+00:00,H1,XAUUSD,1792.7,1793.61,1790.8,1791.62,4973,11
2021-09-10 20:00:00+00:00,H1,XAUUSD,1791.63,1793.06,1788.74,1789.32,3451,11
2021-09-10 21:00:00+00:00,H1,XAUUSD,1789.33,1791.24,1788.28,1790.54,3497,11
2021-09-10 22:00:00+00:00,H1,XAUUSD,1790.54,1790.7,1786.67,1787.82,2424,11
